ID,y,oof_final
1,1,0.9398234705856776
2,1,0.8264852095018623
3,0,0.42194588170500164
5,0,0.2380683218110932
6,0,0.547675985912431
9,0,0.7092047480325232
10,0,0.5012826644636723
11,0,0.6421728480948447
12,0,0.25756192298215863
13,0,0.051973274200327546
14,1,0.8701392814180328
15,0,0.10497557864834701
16,0,0.8224705421974869
17,1,0.883386234184095
19,0,0.8478049770279869
20,0,0.7738597330318709
21,0,0.19145759960578
22,1,0.7877154079162864
23,1,0.9815644158441671
24,1,0.1973998869516066
25,0,0.3008101801527603
26,0,0.6386364624548894
27,1,0.7118280504949489
28,0,0.39948113686102293
29,0,0.5454584981955737
32,1,0.9004884270330594
33,0,0.24630056379262866
34,0,0.015348493412757076
37,0,0.1864573822050234
38,0,0.46207806136498686
39,1,0.7378291809788831
40,0,0.40043770018986335
41,0,0.12138208907633664
42,0,0.38297317274664117
43,0,0.6937258141658332
46,1,0.7497572358218473
48,1,0.2936939287215386
49,0,0.00860906995956346
50,0,0.5744162789686508
51,1,0.8757047407858313
52,0,0.38517616707972807
54,0,0.626041711958491
55,0,0.8965462266475354
56,0,0.3473339420554517
57,0,0.13549864486861748
58,0,0.4116990593793933
59,0,0.8724002492862009
60,0,0.34369610272910417
61,1,0.07484383378987493
62,0,0.5791990956128528
63,1,0.9641288751684857
64,1,0.6584054379175907
65,0,0.7355102395756337
66,1,0.8078757047407858
67,1,0.9669695783874661
68,0,0.8052379088945897
69,0,0.7879617954403816
72,1,0.9346783193472179
73,0,0.3802484165978231
74,0,0.6793628708494572
75,0,0.04808904734988478
77,0,0.5372407495978085
78,0,0.7412206327811354
79,1,0.5397915851413829
80,1,0.7976288824151775
81,0,0.07310462773743787
82,0,0.055161818629795495
83,1,0.5690102468223256
84,0,0.3510732350681914
85,0,0.5213849877530907
86,0,0.19782019508094553
87,1,0.7335971129179529
88,0,0.4226705508935171
90,0,0.9545342551125412
91,1,0.9680855689377799
94,0,0.571792976506225
95,0,0.4941664130324506
96,0,0.4550052900850761
98,0,0.12270098699943477
99,0,0.5416902184152934
101,0,0.4976303317535545
102,0,0.25799672449526795
103,0,0.48618055857501047
105,0,0.9554763250576112
106,0,0.4868182674609041
107,0,0.4582952882009363
108,0,0.38710378712117915
109,0,0.5685319651579054
110,0,0.8356305346609272
111,0,0.387799469542154
112,0,0.7620476252590692
113,0,0.9211994724408307
114,0,0.2689392292418511
115,0,0.5669231995594012
117,0,0.6250851486296506
118,1,0.9156485064568024
119,0,0.030189718393553343
