ID,y,oof_lgb,oof_xgb,oof_cat,oof_rank,oof_stack,oof_final
1,1,0.7211745257108853,0.8923974394798279,0.7243211999198433,0.9671434989927099,0.7205732833785323,0.9641397452063134
2,1,0.34203842003561913,0.6442068696022034,0.3372877897292349,0.8066002869689987,0.3579401654357357,0.8064915865907213
3,0,0.06919663673540614,0.2091681480407715,0.07837550851817796,0.15723872052408075,0.07648162087685292,0.16409409104743683
5,0,0.07403365725406938,0.21402950286865235,0.07544114262737561,0.1635143556966245,0.07660345246057138,0.1690943084481934
6,0,0.17358693440437195,0.38639160990715027,0.15704423171272283,0.5549806513326666,0.14353432952183737,0.5503500152180529
9,0,0.20671335466074306,0.48817926049232485,0.18491124302620784,0.6658840239430699,0.19772897343881388,0.6684529762163571
10,0,0.1567902902983972,0.34563790559768676,0.10133278856389102,0.42330825977941067,0.11209652225109351,0.4156593764946302
11,0,0.2233949430613543,0.49180583357810975,0.19016372336349585,0.6803484209458383,0.19894511276868745,0.6797904256706814
12,0,0.1387555449297499,0.33143299221992495,0.1188339269311868,0.41532240532197057,0.11474853028280745,0.41283316665942
13,0,0.07863570261324124,0.2105679005384445,0.06331172079429224,0.14906445207762656,0.07290490188680292,0.15131092656202444
14,1,0.41971981108496703,0.7370345950126648,0.41315154718649383,0.8540516254329898,0.4651900139077594,0.8542980129570851
15,0,0.037369706011219764,0.11273470968008041,0.033683742233680904,0.00721770511761381,0.05162918138779753,0.008587329883907997
16,0,0.3185983342533026,0.6148641228675842,0.3523072181961374,0.7979477368581241,0.3521157698821318,0.7990999608678637
17,1,0.5144469436166169,0.7651039242744446,0.5057116465627898,0.8829804194385263,0.5291132747900363,0.8813317970346537
19,0,0.42890265800741156,0.684448504447937,0.4151910496648579,0.8461962114294824,0.42030076595341737,0.8441997478151224
20,0,0.2877907228312158,0.5995394468307496,0.30430916207646763,0.774236561009899,0.3170516116478164,0.7752837079873038
21,0,0.061112796952558,0.169858518242836,0.05856392217530233,0.08522109656941607,0.06459457639143996,0.08789512587503805
22,1,0.27005318171536336,0.5310853838920593,0.2439247633383478,0.7367711639636506,0.23927024309691405,0.7338145136745076
23,1,0.7046389199389397,0.9141224026679993,0.7592759732955233,0.9762453440004638,0.7585895860359879,0.9769120396538981
24,1,0.12544215208634596,0.26847123503685,0.08765607670968653,0.30466542023566245,0.08850147854991226,0.2945128049045611
25,0,0.103101339013704,0.26928965747356415,0.09863756192135453,0.2882734031914431,0.0936910792313152,0.29021913996260706
26,0,0.15899476949161484,0.385184234380722,0.14058079523758688,0.5141962694030174,0.13922030752536876,0.5151528327318579
27,1,0.22367151424079848,0.49255794286727905,0.22104694391515217,0.697653521167587,0.21443044314933327,0.6979216487673378
28,0,0.10630068238161428,0.2706998705863953,0.09521720117999125,0.28830238995898366,0.09289951258181946,0.28897995565024565
29,0,0.18394585730660337,0.38427057266235354,0.16135743779598538,0.5699233299998551,0.14269685185415576,0.5606982912300534
32,1,0.6135027167642562,0.8644081354141235,0.635055435174099,0.9258808353986406,0.6719650931470579,0.9255293708422105
33,0,0.10415833254977666,0.24937813580036164,0.08592860964595854,0.25509804774120615,0.08504744642896095,0.2516848558632984
34,0,0.0733373294370722,0.1877755880355835,0.05399147031091196,0.10854095105584301,0.06654331976344342,0.10900473933649289
37,0,0.07232478280016143,0.21871232688426973,0.07593745737468256,0.1648767337710335,0.07798138957448982,0.1726053306665507
38,0,0.13461582594907945,0.3182749807834625,0.09957906095547982,0.37075525022827077,0.10527594975458779,0.3677442497499891
39,1,0.23696371892058626,0.5311206161975861,0.2813414609818194,0.7353797991217009,0.26804051810676155,0.7385973303187096
40,0,0.17073851773774287,0.4093040943145752,0.14461672471979536,0.5504297288287897,0.14895934140973002,0.5525022827079438
41,0,0.20723319460321835,0.385933643579483,0.12244044643357792,0.5369363885386321,0.1265258995565555,0.5178594721509631
42,0,0.08619690910089606,0.2846451312303543,0.1102372389236953,0.2882299230401322,0.10316874488032839,0.30313274490195224
43,0,0.19555358052149827,0.4416720986366272,0.19420527997587175,0.6449410843949737,0.18008329100011727,0.6452671855298056
46,1,0.26735614651130746,0.5802906632423401,0.2768338821118842,0.7571488615447048,0.29122579562973855,0.7583373190138701
48,1,0.1391225734055078,0.20445185005664826,0.04613449393806697,0.21298027450468862,0.06366995631924273,0.18219270403061005
49,0,0.03979839399687205,0.10738037079572678,0.03203449780448842,0.006145194718610954,0.05037560826913295,0.006728553415365886
50,0,0.18154476458282923,0.4438652992248535,0.1684778214187452,0.6110555531399916,0.17246361480121639,0.6157006826383755
51,1,0.4914291824211693,0.7733641147613526,0.5338546398958155,0.8841978636752322,0.5637587136934705,0.8845819383451454
52,0,0.06678105390255087,0.22704006135463714,0.07845469610020825,0.16570285664594112,0.08107652687185853,0.178344710639593
54,0,0.2650420245374548,0.5475344121456146,0.2891186093679185,0.7518152963172312,0.2768408089344915,0.7523153180573068
55,0,0.599386672717364,0.8460350751876831,0.5497091720054418,0.9082858675014855,0.6028506945078481,0.9055502413148397
56,0,0.1321644915133448,0.3484557032585144,0.12128238500512183,0.4209458382248503,0.12233440941211186,0.426116352884908
57,0,0.11501932057609472,0.26094250082969667,0.07728943720326781,0.2663739003145064,0.08504179196259085,0.26013087525544587
58,0,0.1535779998705589,0.33723214268684387,0.13056557987048872,0.45742568517471777,0.11851701936090181,0.44896517239879996
59,0,0.39425840114268634,0.7562582969665528,0.4930532127139817,0.8630085366030406,0.548574126511926,0.8675920692204008
60,0,0.12362428907755144,0.3372347950935364,0.13357086548992145,0.4187138571242228,0.12333811546040872,0.4255402408800383
61,1,0.06357191983493639,0.1448483720421791,0.053736076204493624,0.06659709842456918,0.05872047318506774,0.06278533849297795
62,0,0.19721015759214117,0.4299638390541077,0.17775089722777632,0.6278823716973202,0.16709260778557733,0.624918474716292
63,1,0.6888520860259372,0.8911900401115418,0.7957559242241448,0.9709987390756121,0.7678014244216138,0.9743575807643812
64,1,0.17483271837055656,0.37289769649505616,0.17066673023255768,0.5611403394350479,0.1427699591389745,0.55419800860907
65,0,0.21862135789902623,0.4815014362335205,0.20685866996136829,0.6843630882502137,0.2023120216306835,0.6839427801208748
66,1,0.1968308543791084,0.4718885481357574,0.2351410641272139,0.6796672319086338,0.21529489165823504,0.6847580329579547
67,1,0.6640669060528424,0.8896414518356324,0.7480694495626705,0.9610417844254098,0.7461774750588483,0.9638353841471368
68,0,0.33921162427852575,0.6070170760154724,0.3188206715509636,0.7924257576416366,0.3183739396569149,0.7891212661420062
69,0,0.20907384098867757,0.5089345753192902,0.20509335265923476,0.6864646288969086,0.2187027433773031,0.6908778642549677
72,1,0.7099434112520954,0.9030009627342224,0.7032521003304852,0.9660564952099367,0.717821632401082,0.9627918605156747
73,0,0.12198196175999228,0.3285161018371582,0.13659562581795276,0.4146122295172254,0.12137118656468687,0.4202682725335884
74,0,0.20606497263254697,0.4734039783477783,0.20428608303969614,0.6725075003261011,0.1991514702633051,0.6739532153571894
75,0,0.06184507993475685,0.15454972684383392,0.041223739937470125,0.05340811919358812,0.058575068444989616,0.052524022783599286
77,0,0.12097165204441447,0.35137373208999634,0.1390857457553971,0.4324825717060163,0.13080075581398865,0.4444975868516023
78,0,0.34516624614410424,0.6068153858184815,0.29685529124176113,0.7883821035697204,0.3026316780644113,0.7835992869255185
